filename,width,height,class,xmin,ymin,xmax,ymax,
s59553621.jpg,512,426,aicd,374,110,462,224,
s54368477.jpg,426,512,aicd,351,79,425,185,
s50331353.jpg,512,426,aicd,373,114,472,197,
s54035395.jpg,512,426,aicd,361,158,446,259,
s55612662.jpg,512,512,aicd,355,200,448,318,
s52566828.jpg,512,426,aicd,377,75,464,177,
s58194459.jpg,512,477,aicd,46,155,150,267,
s51863331.jpg,426,512,aicd,293,130,384,213,
s50771071.jpg,512,426,aicd,455,109,512,217,
s53906098.jpg,512,426,aicd,378,117,477,233,
s53068118.jpg,512,414,aicd,367,153,469,278,
s55714227.jpg,426,512,aicd,321,224,404,315,
s53779297.jpg,426,512,aicd,267,195,360,316,
s53939003.jpg,512,426,aicd,375,121,456,216,
s55913229.jpg,426,512,aicd,319,128,404,230,
s53755406.jpg,512,426,aicd,328,126,427,224,
s59110473.jpg,426,512,aicd,344,217,417,328,
s51352945.jpg,426,512,aicd,299,139,378,230,
s55470370.jpg,512,426,aicd,375,179,468,277,
s50593826.jpg,426,512,aicd,266,115,355,197,
s51006668.jpg,512,426,aicd,63,154,127,228,
s52142796.jpg,395,512,aicd,264,181,351,284,
s50542894.jpg,426,512,aicd,313,188,391,289,
s56788825.jpg,512,426,aicd,386,178,475,267,
s55352634.jpg,512,426,aicd,377,126,475,224,
s50915699.jpg,440,512,aicd,306,97,384,191,
s57144277.jpg,512,426,aicd,327,89,394,163,
s58033515.jpg,426,512,aicd,284,169,373,251,
s51632423.jpg,512,421,aicd,347,126,438,213,
s51092413.jpg,426,512,aicd,289,177,370,274,
s59517106.jpg,512,426,aicd,390,112,467,217,
s57085364.jpg,426,512,aicd,325,174,404,261,
s50518009.jpg,512,426,aicd,419,127,501,228,
s50032687.jpg,426,512,aicd,323,190,398,269,
s59317795.jpg,426,512,aicd,280,224,366,325,
s54984999.jpg,426,512,aicd,36,150,142,259,
s50829586.jpg,426,512,aicd,297,99,366,195,
s54433293.jpg,512,426,aicd,357,166,449,263,
s50357559.jpg,426,512,aicd,336,134,419,232,
s53464197.jpg,426,512,aicd,299,171,385,262,
s50410456.jpg,512,426,aicd,371,230,468,328,
s54139132.jpg,426,512,aicd,338,92,413,188,
s59504740.jpg,425,512,aicd,269,201,348,293,
s52985206.jpg,512,424,aicd,376,107,463,201,
s58716536.jpg,512,426,aicd,367,183,473,293,
s57425533.jpg,426,512,aicd,296,119,382,207,
s57438511.jpg,427,512,aicd,302,210,390,311,
s58170168.jpg,512,426,aicd,397,70,477,161,
s55035414.jpg,512,426,aicd,409,178,493,295,
s53697866.jpg,427,512,aicd,317,177,411,268,
s50697804.jpg,426,512,aicd,301,100,384,180,
s55950404.jpg,512,426,aicd,404,141,487,231,
s54928692.jpg,426,512,aicd,300,201,393,332,
s54702054.jpg,512,426,aicd,379,72,469,178,
s55030880.jpg,512,426,aicd,308,193,386,277,
s59868269.jpg,512,470,aicd,414,158,496,260,
s57210809.jpg,512,426,aicd,370,136,443,221,
s52636229.jpg,512,426,aicd,74,164,138,238,
s50357307.jpg,512,426,aicd,363,160,450,258,
s52740088.jpg,459,512,aicd,63,130,167,247,
s53093459.jpg,512,426,aicd,394,226,482,315,
s59090376.jpg,512,426,aicd,357,164,429,250,
s58706875.jpg,512,426,aicd,381,142,483,254,
s52262681.jpg,512,426,aicd,379,103,471,207,
s57580739.jpg,426,512,aicd,319,198,403,286,
s50432000.jpg,426,512,aicd,296,246,379,360,
s50615465.jpg,512,426,aicd,357,128,432,216,
s55052256.jpg,512,426,aicd,360,123,446,234,
s57615931.jpg,426,512,aicd,271,150,367,238,
s59142166.jpg,512,426,aicd,350,175,445,261,
s52630766.jpg,426,512,aicd,308,131,390,226,
s56430228.jpg,512,426,aicd,364,175,464,281,
s51610383.jpg,512,425,aicd,359,242,454,347,
s52211058.jpg,512,426,aicd,388,153,480,250,
s53920106.jpg,512,426,aicd,385,167,486,267,
s56537030.jpg,512,426,aicd,351,128,444,236,
s51675440.jpg,426,512,aicd,296,192,382,281,
s52201121.jpg,512,426,aicd,383,93,476,190,
s53651274.jpg,426,512,aicd,279,110,377,209,
s53507013.jpg,512,430,aicd,352,135,442,222,
s52845823.jpg,512,426,aicd,386,0,472,72,
s52470279.jpg,426,512,aicd,270,166,335,250,
s52373833.jpg,512,426,aicd,405,188,481,295,
s52304368.jpg,512,426,aicd,374,99,458,196,
s56945155.jpg,426,512,aicd,304,74,402,148,
s55421522.jpg,512,426,aicd,329,133,421,216,
s56016108.jpg,426,512,aicd,361,177,426,262,
s54243568.jpg,426,512,aicd,334,229,414,330,
s59342627.jpg,512,426,aicd,390,105,463,173,
s56633902.jpg,426,512,aicd,340,186,422,278,
s50072653.jpg,512,426,aicd,388,115,483,207,
s59747210.jpg,512,426,aicd,412,146,500,247,
s57837653.jpg,512,426,aicd,354,127,444,241,
s59535712.jpg,512,426,aicd,401,128,505,231,
s57357816.jpg,428,512,aicd,314,149,406,240,
s55765621.jpg,426,512,aicd,277,128,350,198,
s53953267.jpg,426,512,aicd,325,89,411,192,
s50293464.jpg,426,512,aicd,377,130,426,238,
s51934410.jpg,512,426,aicd,386,144,486,245,
