filename,width,height,class,xmin,ymin,xmax,ymax
s58364525.jpg,512,512,carina,215,143,235,163,
s50498215.jpg,426,512,carina,180,200,200,220,
s50329188.jpg,426,512,carina,182,178,202,198,
s55077161.jpg,512,426,carina,248,170,268,190,
s56464000.jpg,512,426,carina,232,156,252,176,
s58152100.jpg,426,512,carina,194,153,214,173,
s50826331.jpg,426,512,carina,214,186,234,206,
s57210186.jpg,441,512,carina,180,190,200,210,
s56881018.jpg,512,426,carina,211,170,231,190,
s51305612.jpg,512,512,carina,222,189,242,209,
s59161946.jpg,426,512,carina,212,174,232,194,
s57790617.jpg,512,512,carina,260,190,280,210,
s50675322.jpg,426,512,carina,197,172,217,192,
s58606642.jpg,512,426,carina,224,165,244,185,
s55904218.jpg,512,426,carina,231,161,251,181,
s54054884.jpg,426,512,carina,198,207,218,227,
s57681337.jpg,512,474,carina,245,161,265,181,
s55482767.jpg,453,512,carina,218,161,238,181,
s59407071.jpg,512,426,carina,250,178,270,198,
s57557925.jpg,426,512,carina,214,204,234,224,
s54364019.jpg,512,472,carina,268,170,288,190,
s59312153.jpg,440,512,carina,197,189,217,209,
s57615371.jpg,426,512,carina,208,152,228,172,
s56214279.jpg,421,512,carina,202,197,222,217,
s55945160.jpg,512,421,carina,219,155,239,175,
s58595382.jpg,426,512,carina,196,181,216,201,
s56849419.jpg,512,512,carina,244,185,264,205,
s54685106.jpg,512,426,carina,219,182,239,202,
s58578768.jpg,512,426,carina,265,191,285,211,
s54101998.jpg,512,451,carina,250,199,270,219,
s57843437.jpg,512,426,carina,263,178,283,198,
s50361931.jpg,426,512,carina,189,199,209,219,
s53683652.jpg,426,512,carina,217,208,237,228,
s58583372.jpg,512,426,carina,269,176,289,196,
s52418297.jpg,512,426,carina,253,169,273,189,
s55706041.jpg,426,512,carina,212,184,232,204,
s58804003.jpg,426,512,carina,223,190,243,210,
s52582279.jpg,512,426,carina,199,219,219,239,
s51954791.jpg,426,512,carina,230,222,250,242,
s52233502.jpg,512,426,carina,216,151,236,171,
s54295454.jpg,447,512,carina,210,188,230,208,
s58921439.jpg,512,426,carina,241,209,261,229,
s55433001.jpg,426,512,carina,166,191,186,211,
s53757815.jpg,512,426,carina,248,167,268,187,
s52410131.jpg,512,426,carina,239,149,259,169,
s54478960.jpg,512,426,carina,268,217,288,237,
s54142250.jpg,426,512,carina,187,226,207,246,
s53128280.jpg,512,426,carina,243,163,263,183,
s50195893.jpg,426,512,carina,221,185,241,205,
s50471884.jpg,512,426,carina,192,178,212,198,
s51894989.jpg,512,426,carina,231,169,251,189,
s59931377.jpg,426,512,carina,214,210,234,230,
s55507723.jpg,426,512,carina,212,214,232,234,
s59252644.jpg,426,512,carina,185,232,205,252,
s55654822.jpg,453,512,carina,195,195,215,215,
s52439627.jpg,512,426,carina,235,168,255,188,
s54589545.jpg,426,512,carina,192,184,212,204,
s54268276.jpg,512,426,carina,225,191,245,211,
s59307640.jpg,512,426,carina,242,170,262,190,
s54104338.jpg,426,512,carina,211,190,231,210,
s50382731.jpg,426,512,carina,168,213,188,233,
s55682894.jpg,426,512,carina,208,272,228,292,
s53104931.jpg,426,512,carina,214,237,234,257,
s56025051.jpg,426,512,carina,207,208,227,228,
s54953013.jpg,426,512,carina,228,214,248,234,
s57402889.jpg,512,456,carina,194,192,214,212,
s58786374.jpg,426,512,carina,167,220,187,240,
s56585970.jpg,426,512,carina,189,183,209,203,
s56181434.jpg,426,512,carina,206,153,226,173,
s52606057.jpg,426,512,carina,217,234,237,254,
s53273191.jpg,421,512,carina,194,149,214,169,
s59872403.jpg,426,512,carina,221,191,241,211,
s59109782.jpg,512,426,carina,231,165,251,185,
s55203083.jpg,426,512,carina,283,221,303,241,
s59607182.jpg,512,426,carina,228,227,248,247,
s53613688.jpg,443,512,carina,213,216,233,236,
s51678542.jpg,512,426,carina,262,189,282,209,
s55834064.jpg,426,512,carina,195,199,215,219,
s54934710.jpg,512,426,carina,261,174,281,194,
s57970912.jpg,440,512,carina,203,182,223,202,
s54540617.jpg,426,512,carina,222,211,242,231,
s54652765.jpg,512,512,carina,244,179,264,199,
s53797545.jpg,426,512,carina,214,172,234,192,
s51694137.jpg,512,426,carina,249,146,269,166,
s50639339.jpg,512,426,carina,263,167,283,187,
s52806303.jpg,512,426,carina,245,199,265,219,
s56191722.jpg,426,512,carina,220,228,240,248,
s56566950.jpg,449,512,carina,215,217,235,237,
s58179273.jpg,512,426,carina,244,159,264,179,
s55787947.jpg,512,512,carina,215,202,235,222,
s58762447.jpg,512,426,carina,234,171,254,191,
s59750015.jpg,512,426,carina,255,160,275,180,
s59723123.jpg,426,512,carina,176,190,196,210,
s56777171.jpg,512,426,carina,232,193,252,213,
s52101493.jpg,426,512,carina,192,196,212,216,
s56374699.jpg,512,506,carina,236,234,256,254,
s53839171.jpg,512,426,carina,255,177,275,197,
s51320163.jpg,426,512,carina,208,180,228,200,
s58583348.jpg,426,512,carina,195,232,215,252,
s51156549.jpg,512,426,carina,235,173,255,193,
s55763834.jpg,426,512,carina,199,237,219,257,
s51788121.jpg,426,512,carina,214,206,234,226,
s54554163.jpg,426,512,carina,189,202,209,222,
s55910565.jpg,472,512,carina,210,206,230,226,
s51399802.jpg,512,426,carina,258,175,278,195,
s51964261.jpg,426,512,carina,195,178,215,198,
s52281600.jpg,426,512,carina,193,208,213,228,
s58853913.jpg,426,512,carina,185,176,205,196,
s55243435.jpg,512,426,carina,207,190,227,210,
s54309861.jpg,512,426,carina,187,152,207,172,
s50261338.jpg,512,426,carina,266,171,286,191,
s51201489.jpg,512,426,carina,217,181,237,201,
s53420357.jpg,426,512,carina,209,183,229,203,
s59252078.jpg,426,512,carina,200,175,220,195,
s55089732.jpg,512,426,carina,227,181,247,201,
s54479128.jpg,512,426,carina,205,180,225,200,
s57522922.jpg,512,426,carina,240,171,260,191,
s51143982.jpg,426,512,carina,172,260,192,280,
s51211156.jpg,512,433,carina,204,191,224,211,
s51211156.jpg,512,433,carina,207,185,227,205,
s50038757.jpg,426,512,carina,189,175,209,195,
s53827687.jpg,512,426,carina,278,158,298,178,
s52533881.jpg,426,512,carina,214,202,234,222,
s52272454.jpg,454,512,carina,217,218,237,238,
s52383210.jpg,426,512,carina,211,167,231,187,
s57370783.jpg,512,426,carina,225,139,245,159,
s58418827.jpg,426,512,carina,187,159,207,179,
s53665164.jpg,512,478,carina,230,156,250,176,
s54347899.jpg,426,512,carina,201,201,221,221,
s56382556.jpg,512,512,carina,216,218,236,238,
s55388196.jpg,426,512,carina,197,203,217,223,
s50196761.jpg,512,502,carina,224,183,244,203,
s53858670.jpg,512,426,carina,214,152,234,172,
s58389975.jpg,512,426,carina,257,173,277,193,
s55181698.jpg,470,512,carina,195,199,215,219,
s58782895.jpg,432,512,carina,193,205,213,225,
s55666911.jpg,440,512,carina,197,207,217,227,
s52894943.jpg,426,512,carina,197,182,217,202,
s53070255.jpg,426,512,carina,194,194,214,214,
s58816002.jpg,512,426,carina,243,166,263,186,
s50488666.jpg,512,512,carina,233,253,253,273,
s53154387.jpg,512,426,carina,270,189,290,209,
s59288285.jpg,512,472,carina,215,195,235,215,
s55107880.jpg,426,512,carina,202,188,222,208,
s55687808.jpg,426,512,carina,197,168,217,188,
s52010945.jpg,512,426,carina,256,154,276,174,
s52229714.jpg,512,426,carina,245,161,265,181,
s51038308.jpg,512,426,carina,296,178,316,198,
s50216870.jpg,426,512,carina,218,213,238,233,
s57869126.jpg,512,426,carina,249,166,269,186,
