filename,width,height,class,xmin,ymin,xmax,ymax,
25826410-27db0a11-c5ef84f5-a098eb71-58ec621e.jpg,1024,852,carina,416,285,516,385,
25826410-27db0a11-c5ef84f5-a098eb71-58ec621e.jpg,1024,852,tip,389,175,489,275,
7d4534b8-353ee122-898a9e08-65122fbd-439a55e8.jpg,1024,913,carina,472,412,572,512,
7d4534b8-353ee122-898a9e08-65122fbd-439a55e8.jpg,1024,913,tip,498,291,598,391,
d5edcc92-7983078a-212637e0-291820df-c2fd4239.jpg,873,1024,carina,482,397,582,497,
d5edcc92-7983078a-212637e0-291820df-c2fd4239.jpg,873,1024,tip,479,243,579,343,
553b9bda-81ce172c-f36a8ea3-10296590-848c3508.jpg,1024,852,carina,473,321,573,421,
553b9bda-81ce172c-f36a8ea3-10296590-848c3508.jpg,1024,852,tip,491,174,591,274,
32cee60a-14a36032-ffb641b2-839335cc-a7621a8e.jpg,1024,974,carina,397,310,497,410,
32cee60a-14a36032-ffb641b2-839335cc-a7621a8e.jpg,1024,974,tip,332,112,432,212,
e710a922-01f09977-dfba4da7-6993d446-e9886d02.jpg,852,1024,carina,337,357,437,457,
e710a922-01f09977-dfba4da7-6993d446-e9886d02.jpg,852,1024,tip,396,206,496,306,
06865272-c3dd0ce1-c9475d1f-b360b331-5ae99e33.jpg,852,1024,tip,393,286,493,386,
06865272-c3dd0ce1-c9475d1f-b360b331-5ae99e33.jpg,852,1024,carina,388,333,488,433,
8c41ca6d-adebfb0a-0dc8a021-a6326ebf-17f919a4.jpg,852,1024,tip,298,117,398,217,
8c41ca6d-adebfb0a-0dc8a021-a6326ebf-17f919a4.jpg,852,1024,carina,278,274,378,374,
ec5c87f2-4ba0b3ce-5e12b1f6-88e9b480-90b2d494.jpg,1024,852,carina,521,350,621,450,
ec5c87f2-4ba0b3ce-5e12b1f6-88e9b480-90b2d494.jpg,1024,852,tip,525,181,625,281,
754c1343-cabc58c7-d1cd03ce-3b7e23d9-30ef5224.jpg,852,1024,carina,286,325,386,425,
754c1343-cabc58c7-d1cd03ce-3b7e23d9-30ef5224.jpg,852,1024,tip,257,151,357,251,
ea211d35-b4dd9a70-4087a6fb-b0172fe0-36625148.jpg,1024,928,carina,379,432,479,532,
ea211d35-b4dd9a70-4087a6fb-b0172fe0-36625148.jpg,1024,928,tip,327,245,427,345,
82b7f28f-16a7f99d-78123585-3c30ce8a-4f4d06ad.jpg,1024,852,carina,520,371,620,471,
82b7f28f-16a7f99d-78123585-3c30ce8a-4f4d06ad.jpg,1024,852,tip,567,155,667,255,
882e8028-de7076c5-3ab194d2-b1cc5527-293908c0.jpg,852,1024,carina,335,263,435,363,
882e8028-de7076c5-3ab194d2-b1cc5527-293908c0.jpg,852,1024,tip,364,93,464,193,
56387a2b-59baeb63-0d448744-6c5baa94-a2efb38b.jpg,1024,852,carina,464,277,564,377,
56387a2b-59baeb63-0d448744-6c5baa94-a2efb38b.jpg,1024,852,tip,491,91,591,191,
ce5c7527-d3a04e92-3114ef95-29052f52-c86252dc.jpg,852,1024,carina,353,225,453,325,
ce5c7527-d3a04e92-3114ef95-29052f52-c86252dc.jpg,852,1024,tip,363,208,463,308,
aab319a0-7035d806-5613bfdc-7943ca0d-73ee76ec.jpg,1024,852,tip,313,340,413,440,
aab319a0-7035d806-5613bfdc-7943ca0d-73ee76ec.jpg,1024,852,carina,323,381,423,481,
1df3c754-7cf5f90a-fc587ff5-89945e36-931a1124.jpg,852,1024,carina,336,408,436,508,
1df3c754-7cf5f90a-fc587ff5-89945e36-931a1124.jpg,852,1024,tip,331,236,431,336,
